endpoint,ep_short,noise_type,noise_level,seed,model,arm,R2,RMSE,MSE,MAE,Spearman,CCC
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,9,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,9,RandomForest,baseline,0.2509987883270014,0.5364827384836705,0.28781372869093835,0.4465480204897897,0.48829728095943675,0.37181853084753363
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,9,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,9,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,9,RandomForest,tuned,0.25761362244795216,0.5341085004461369,0.285271890248821,0.44664796243500016,0.511285286173607,0.3730172261329496
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,0,MeanPredictor,baseline,-0.0011449860661181255,0.6202445846707947,0.38470334481344665,0.536911575962615,,-3.9816881466023175e-32
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,0,BayesianRidge,baseline,0.31677344570039845,0.5123855357827973,0.26253893727942423,0.4163837490259459,0.5508368654814116,0.48393290112078235
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,0,RandomForest,baseline,0.2494723527333903,0.5370291258154501,0.28840028197410655,0.4455096338711063,0.49294998245885885,0.37238572752573973
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,0,LightGBM,baseline,0.333845866312099,0.5059433085088032,0.255978631424834,0.4138738414043182,0.5562414259159365,0.5021206035850038
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,0,LightGBM,tuned,0.3383228002274309,0.5042403293246993,0.25425830971748126,0.4062325730215951,0.5614040241473743,0.5361306196775247
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,0,RandomForest,tuned,0.2515559583274267,0.5362831609044667,0.2875996286696861,0.4469168501150035,0.5014297795319788,0.3689235969411597
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,1,MeanPredictor,baseline,-0.000876997735790086,0.6201615650093825,0.38460036671488645,0.5370779321522645,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,1,BayesianRidge,baseline,0.31491481746285954,0.513082001269754,0.26325314002697586,0.41745261607977563,0.5507228086173821,0.4804737552291017
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,1,RandomForest,baseline,0.24752965555541007,0.5377237109668009,0.28914678933590765,0.44791806748575974,0.4948434396606535,0.37047517826991233
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,1,LightGBM,baseline,0.32764488965158867,0.5082926712092924,0.25836143960507785,0.41680863302831944,0.5496909685245159,0.5024227040815749
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,1,LightGBM,tuned,0.32969558358110695,0.5075169288287158,0.2575734330477317,0.40807266013407406,0.5572102786140204,0.5308859740070719
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,1,RandomForest,tuned,0.2568123699972257,0.5343966525107027,0.2855797822146447,0.4479343365592651,0.5018649511282965,0.37383320559755684
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,2,MeanPredictor,baseline,-0.001190559589359097,0.620258701711638,0.38472085704900677,0.5368861584110295,,-3.9815069028265447e-32
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,2,BayesianRidge,baseline,0.31705221775860903,0.5122809926097802,0.26243181538926175,0.4162863368108496,0.5503467375762012,0.48277165595748117
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,2,RandomForest,baseline,0.24404517925670777,0.5389672957947366,0.29048574593629106,0.44788316995758093,0.48773106366355345,0.3691877260021105
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,2,LightGBM,baseline,0.3305575468297274,0.5071905087303964,0.25724221214619825,0.4162206820169217,0.5556610255164467,0.5003144703332266
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,2,LightGBM,tuned,0.3455425282513639,0.5014818368660543,0.2514840327065519,0.4035275387249829,0.5713456847776976,0.5408072694275103
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,2,RandomForest,tuned,0.25265647383442125,0.5358887392675462,0.2871767408737601,0.44875230449762754,0.4971537411089152,0.36943972055004537
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,3,MeanPredictor,baseline,-0.0011390912259037211,0.6202427586375261,0.38470107964228845,0.5369149003499387,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,3,BayesianRidge,baseline,0.3148616603294381,0.5131019064144374,0.2632735663661301,0.4174849680758634,0.5457311283676991,0.4780400306767283
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,3,RandomForest,baseline,0.2437465097728303,0.539073755323209,0.290600513678267,0.4478765399066053,0.48036766475108067,0.37155318696424855
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,3,LightGBM,baseline,0.3228430054282275,0.5101045263594757,0.260206627812425,0.42140771022304085,0.5456600584057073,0.49321392080634074
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,3,LightGBM,tuned,0.33088948857894807,0.5070647484212053,0.2571146590914602,0.4073422365415591,0.5602311767195604,0.5257591818216122
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,3,RandomForest,tuned,0.25020130926752104,0.5367682653443018,0.2881201706807307,0.44832571699797635,0.4957784433909651,0.36759071678949595
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,4,MeanPredictor,baseline,-0.0008711819536775245,0.6201597632246555,0.3845981319228608,0.5370818784214316,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,4,BayesianRidge,baseline,0.31788975034210054,0.5119667785095123,0.26210998229740806,0.41580754550428006,0.5520884021065487,0.48365546264710785
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,4,RandomForest,baseline,0.25085679301270347,0.5365335891523823,0.28786829228873734,0.44706786381643915,0.48991817031352,0.3724931277140393
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,4,LightGBM,baseline,0.3200236906322397,0.5111653227803166,0.2612899872131052,0.42035354355891935,0.5425259271372546,0.4945021220199314
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,4,LightGBM,tuned,0.3502967991020258,0.49965702294092595,0.24965714057418903,0.3998833831958181,0.5814642352228734,0.5429948041922587
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,4,RandomForest,tuned,0.25387299425851817,0.5354524037088758,0.2867092766376129,0.44630239507075203,0.5081294555288562,0.36646170836371533
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,5,MeanPredictor,baseline,-0.0010924060059165352,0.6202282968572072,0.38468314022239186,0.5369415382272656,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,5,BayesianRidge,baseline,0.31835317971280663,0.5117928324686732,0.26193190336630745,0.41650222848265467,0.5524755416314877,0.48480198807563624
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,5,RandomForest,baseline,0.24446303554315263,0.53881831731305,0.2903251790720666,0.44777580839236825,0.4865117800852746,0.36888166055340277
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,5,LightGBM,baseline,0.32275186809594025,0.5101388522262698,0.2602416485507359,0.42184023360727146,0.5480123943515903,0.49527938405698096
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,5,LightGBM,tuned,0.3369614724770599,0.5047587721918481,0.25478141810462196,0.4039467767839053,0.5687147061883662,0.536549975905991
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,5,RandomForest,tuned,0.25924454667211094,0.5335214951738093,0.284645185812497,0.4476156762303486,0.5106552063005048,0.37342884838768964
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,6,MeanPredictor,baseline,-0.0008475000338883376,0.6201524262861409,0.38458903182858745,0.5370980853404544,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.1,6,BayesianRidge,baseline,0.3203105023298429,0.5110575075116569,0.26117977598402725,0.41545186687983443,0.5554269399552901,0.4863777464374742
