endpoint,ep_short,fraction,n_train,seed,model,arm,R2,RMSE,MSE,MAE,Spearman,CCC
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,0,LightGBM,tuned,0.12991385194352845,0.5782233428647273,0.33434223423366005,0.4835796667902416,0.3775286060478235,0.23297144485210766
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,0,RandomForest,tuned,0.0925813084845093,0.590497894273999,0.34868776314202693,0.49737621992870545,0.35876405108853515,0.1843430918596012
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,1,MeanPredictor,baseline,-0.022612992854376346,0.6268594048263609,0.39295271341925947,0.5340458476344621,,3.898099429504764e-32
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,1,BayesianRidge,baseline,0.09298229302014394,0.5903674105788727,0.34853367947360314,0.4852045573836805,0.3508091832928144,0.24491649689222042
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,1,RandomForest,baseline,-0.007504568544276724,0.6222114587497255,0.3871470993994613,0.5032495367413106,0.2739470322690084,0.16713365167503058
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,1,LightGBM,baseline,-0.01005605298105472,0.6229988293761838,0.38812754140409533,0.5028377666027819,0.27512714555683104,0.2333921102226125
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,1,LightGBM,tuned,0.016018677687973715,0.6149048524459687,0.37810797756159853,0.5014301211765649,0.2676741106726605,0.1937057054419213
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,1,RandomForest,tuned,-0.009947879019841066,0.6229654678337824,0.3880859741133634,0.5106508326611328,0.2536507793422002,0.14870095080818221
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,2,MeanPredictor,baseline,-0.001910874728426215,0.6204817868163464,0.3849976477708059,0.5365457084817664,,7.957288865898975e-32
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,2,BayesianRidge,baseline,0.13279086421983666,0.5772665794975763,0.3332367038048316,0.4886146697608888,0.35472593358495375,0.20145085979116098
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,2,RandomForest,baseline,0.09980810229135706,0.588141794986169,0.34591077100955286,0.48276705614928805,0.3407490384049583,0.23149769578884535
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,2,LightGBM,baseline,0.045539365518557196,0.605610649354942,0.3667642586121146,0.4944310016878979,0.30027967586831716,0.26007964321049426
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,2,LightGBM,tuned,0.09596106240536095,0.589397189945223,0.34738904751532534,0.4940140276602148,0.30195678282362826,0.2293850005306346
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,2,RandomForest,tuned,0.1183352082996354,0.5820579720648149,0.33879148284420485,0.4811489042222007,0.3631389336456257,0.23320533632875742
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,3,MeanPredictor,baseline,-0.018207354281937427,0.6255076241745843,0.39125978790053295,0.5341855255708028,,0.0
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,3,BayesianRidge,baseline,0.0992176207984109,0.5883346593709524,0.34613767141713464,0.4959070393133927,0.35773918671450267,0.1586320663351539
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,3,RandomForest,baseline,0.009730856564805102,0.6168664011660941,0.3805241568876086,0.504105193133932,0.29355299791920153,0.16939779088830254
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,3,LightGBM,baseline,0.041487820740045644,0.6068946521899681,0.36832111885678237,0.4909738379214227,0.3057932943819905,0.25253946073786365
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,3,LightGBM,tuned,0.04228250119790011,0.6066430188068418,0.36801575226707817,0.5017477937878346,0.2810723043367198,0.17003627595408596
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,3,RandomForest,tuned,0.026097276736080754,0.6117476122883494,0.37423514114049666,0.5004012053848219,0.3124083401859673,0.16942443424839268
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,4,MeanPredictor,baseline,-9.621529815539986e-06,0.6198927857397003,0.38426706581212594,0.5384783382934327,,3.9862087706232665e-32
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,4,BayesianRidge,baseline,0.06504321659060319,0.5993910602422173,0.3592696430982894,0.5100506997407267,0.2649858333743852,0.13492216319032152
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,4,RandomForest,baseline,0.06856285895786862,0.5982617934198532,0.35791717346593915,0.4901907366142718,0.32400283432931326,0.19276159606824605
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,4,LightGBM,baseline,-0.07239997202948611,0.6419377117369226,0.4120840257500363,0.5294653600489992,0.20721206007891477,0.1691622885548032
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,4,LightGBM,tuned,0.05286790476051795,0.6032811694690986,0.3639481694360033,0.5029961770175898,0.2717987167935155,0.1936211572762139
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,4,RandomForest,tuned,0.07268896345257758,0.5969352248389792,0.35633166265356264,0.49182778029150487,0.3305536263493126,0.18768574265186116
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,5,MeanPredictor,baseline,-5.201454755798807e-08,0.6198898197244033,0.3842633885979531,0.5383441719988291,,-3.9862469167069754e-32
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,5,BayesianRidge,baseline,0.07895135601368553,0.5949161744249932,0.35392525459246893,0.5028445152100297,0.2818944352733574,0.22067217851966384
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,5,RandomForest,baseline,0.0055889626831544525,0.6181551059264977,0.3821157349829996,0.5137845485545631,0.20598540940443463,0.12601166664771096
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,5,LightGBM,baseline,-0.04174287807184096,0.6326955251572891,0.40030362755405785,0.5211290642734341,0.24499425001214611,0.24422394544606424
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,5,LightGBM,tuned,0.029904299136731538,0.6105507692964167,0.3727722418884463,0.5127496964304797,0.23598836221797273,0.18505291951069777
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,5,RandomForest,tuned,0.01720288144656712,0.6145347276079685,0.3776529314362,0.5127934209746116,0.21568124673268552,0.12258526766417414
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,6,MeanPredictor,baseline,-0.0016760702661688942,0.6204090755438496,0.38490742101717407,0.5366458676037177,,0.0
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,6,BayesianRidge,baseline,0.10714731362518837,0.5857393455620591,0.34309058093946926,0.5034804747828372,0.338974708977194,0.14354241841318938
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,6,RandomForest,baseline,0.05985732967354784,0.6010510706040469,0.36126238947427103,0.49930297651766986,0.28106329510575384,0.18609249285469573
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,6,LightGBM,baseline,0.07375381318293517,0.5965923900864906,0.3559224799091113,0.4871228612570157,0.3074827311563417,0.2576032858517196
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,6,LightGBM,tuned,0.08752052826880563,0.5921422427048347,0.35063243559551144,0.4959461936958409,0.290317062340833,0.19556899457343202
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,6,RandomForest,tuned,0.07931566587558625,0.5947985067715931,0.3537852636577169,0.4980824053445793,0.2858794755362191,0.1850999408634373
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,7,MeanPredictor,baseline,-0.013975938804993593,0.624206544290727,0.3896338099353713,0.534425111058647,,0.0
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,7,BayesianRidge,baseline,0.08786231061780214,0.5920313346088654,0.3505011011587543,0.49773420333610746,0.33234605146098856,0.16573070618842592
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,7,RandomForest,baseline,0.019059201808808712,0.6139540825832046,0.37693961552058447,0.5043735202659061,0.29652954486772903,0.16623597211575653
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,7,LightGBM,baseline,0.016950382108240958,0.6146136653886872,0.3777499576825172,0.4996675444803645,0.28426667597559424,0.22345525688332754
LOG HLM_CLint (mL/min/kg),HLM,0.1,246,7,LightGBM,tuned,0.07425579661005377,0.596430705167348,0.35572958606642,0.4965430090919432,0.32016111806079073,0.20051677799214745
