endpoint,featureset,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,fcfp4,RF,0.08,197,18,none,0.0,base,0.1247137023758014,0.5722652950206932,0.327487567885121,0.4820156070970872,0.3622066359683732,0.3602919107702744,0.2238655482002654
HLM,fcfp4,RF,0.08,197,19,none,0.0,base,0.0619556255289251,0.5924258982782031,0.3509684449507359,0.4854457616990292,0.3052833223175308,0.3031213381569457,0.1817242707330743
HLM,fcfp4,RF,0.1,247,5,none,0.0,base,0.0732276899281858,0.5888556804201234,0.3467510123630465,0.4827683794207118,0.308605949227153,0.2927090404027936,0.2211083018149823
HLM,fcfp4,RF,0.1,247,6,none,0.0,base,-0.0491542477070554,0.6265302087066069,0.3925401024219444,0.5201622051909387,0.1385536939986222,0.1470418167449054,0.0884117757131457
HLM,fcfp4,RF,0.1,247,7,none,0.0,base,0.095890039501942,0.5816114811390124,0.3382719149927158,0.4765009989579286,0.3352437740831581,0.350816095852034,0.2115255914114263
HLM,fcfp4,RF,0.1,247,8,none,0.0,base,0.0733268483659813,0.5888241777680472,0.3467139123242168,0.486825063645631,0.2931617369659628,0.2875957145444145,0.1913120016083609
HLM,fcfp4,RF,0.1,247,9,none,0.0,base,0.0572079584433002,0.5939232107347766,0.3527447802495059,0.492040664909385,0.26981927263652,0.2864599083837672,0.1781894983812195
HLM,fcfp4,RF,0.1,247,10,none,0.0,base,0.0941712502280982,0.5821640648716181,0.3389149984278455,0.4873415269902911,0.3189825848121402,0.3211006465512099,0.2074308108829755
HLM,fcfp4,RF,0.1,247,11,none,0.0,base,0.0666771407683535,0.5909330709490771,0.3492018943413069,0.4853484168414237,0.3006841926390184,0.3276076674223483,0.2082133243543268
HLM,fcfp4,RF,0.1,247,12,none,0.0,base,0.0879616581612875,0.5841560678633123,0.3412383116215267,0.4664186553624594,0.3490044844170624,0.3747728415799374,0.2443569498384855
HLM,fcfp4,RF,0.1,247,13,none,0.0,base,0.130134154864838,0.5704905876023431,0.3254595105428666,0.4791318587993527,0.3636627090977144,0.3681866878320369,0.23867942697959
HLM,fcfp4,RF,0.1,247,14,none,0.0,base,0.0321296790375442,0.6017705505899469,0.3621277955573277,0.4933487837928803,0.2390131609179239,0.2553743393944173,0.1558634393151217
HLM,fcfp4,RF,0.1,247,15,none,0.0,base,0.0059542660595738,0.6098535089576539,0.3719213023879631,0.4954088042168286,0.2487217582790366,0.264956641764103,0.1626918605344162
HLM,fcfp4,RF,0.1,247,16,none,0.0,base,0.0642941051569578,0.5916869991272732,0.3500935049362378,0.4837569682427185,0.3234763244628314,0.3003876546225107,0.2078068477432332
HLM,fcfp4,RF,0.1,247,17,none,0.0,base,0.0192115558103468,0.6057731419849482,0.3669610995503163,0.4927280915792879,0.2569563742313777,0.2556534640347702,0.1668124844970171
HLM,fcfp4,RF,0.1,247,18,none,0.0,base,0.1350594018182112,0.5688732142568848,0.3236167338989595,0.4739029875242718,0.3734643171215508,0.372036998473817,0.2515860179299909
HLM,fcfp4,RF,0.1,247,19,none,0.0,base,0.1324178352998702,0.569741233891598,0.3246050735963206,0.4690016987540453,0.3821545168120345,0.3751950378444557,0.2450026764594998
HLM,fcfp4,RF,0.15,370,5,none,0.0,base,0.1159214634088325,0.5751323117812951,0.3307771760548968,0.4735841795403142,0.3506511108841124,0.3595700482252041,0.2330765166746466
HLM,fcfp4,RF,0.15,370,6,none,0.0,base,0.0590771411976924,0.5933341615237997,0.3520454272311504,0.4929579771941746,0.2862470463794155,0.2953902000687344,0.1868832283370876
HLM,fcfp4,RF,0.15,370,7,none,0.0,base,0.1191669126926429,0.5740756867983804,0.3295628941730321,0.4725512955857604,0.3539432210040811,0.3670115980340625,0.2306673975005651
HLM,fcfp4,RF,0.15,370,8,none,0.0,base,0.1283760762644386,0.5710668034858974,0.3261172940436005,0.472701988887702,0.3637323874259455,0.3718506582883811,0.2605116821294519
HLM,fcfp4,RF,0.15,370,9,none,0.0,base,0.0941256075617356,0.5821787316535438,0.338932075589729,0.4835082405533978,0.3173892411815967,0.3506596554507678,0.2112064636532493
HLM,fcfp4,RF,0.15,370,10,none,0.0,base,0.1337334865936118,0.5693090758698763,0.3241128238678126,0.4728052476407765,0.3783652706354479,0.3730991992328497,0.2413509020359395
HLM,fcfp4,RF,0.15,370,11,none,0.0,base,0.1490126873324858,0.5642660054290213,0.3183961248828243,0.4664985456957926,0.3941493481217312,0.3965164119679886,0.2563253771040087
HLM,fcfp4,RF,0.15,370,12,none,0.0,base,0.0914543250462687,0.5830364769894265,0.3399315335002421,0.4656393605857603,0.3398660082940417,0.3666823404795817,0.236346258988755
HLM,fcfp4,RF,0.15,370,13,none,0.0,base,0.1654643200232025,0.5587850763532776,0.3122407615551382,0.4705052311262136,0.4092453081251618,0.4031923936143318,0.2775228292101398
HLM,fcfp4,RF,0.15,370,14,none,0.0,base,0.0837298927533826,0.5855097119427854,0.3428216227793236,0.4805689961974108,0.310972758542907,0.3288028875135341,0.2017540080049431
HLM,fcfp4,RF,0.15,370,15,none,0.0,base,0.1024516744610328,0.5794970968631334,0.3358168852727998,0.4798406112135921,0.3306206153280583,0.3330824901553705,0.2135413760549326
HLM,fcfp4,RF,0.15,370,16,none,0.0,base,0.1279213404898845,0.5712157499735409,0.3262874330178347,0.4705654233527506,0.3788870876612542,0.3752163507602567,0.2469398228662958
HLM,fcfp4,RF,0.15,370,17,none,0.0,base,0.1128900815758031,0.5761174921800218,0.3319113647957974,0.4716157299255659,0.366241080394095,0.3812921514423339,0.2135109076321612
HLM,fcfp4,RF,0.15,370,18,none,0.0,base,0.1393922342997762,0.5674465689278325,0.3219956085879694,0.4759175867475727,0.3740779225667922,0.3709384706339315,0.2445284881453383
HLM,fcfp4,RF,0.15,370,19,none,0.0,base,0.1169654637633965,0.5747926271942618,0.3303865642768817,0.474884762171521,0.3611754160409394,0.3520255331234828,0.2440271477324025
HLM,fcfp4,RF,0.2,494,5,none,0.0,base,0.1545903905331141,0.5624137554599989,0.3163092323306195,0.4601302976043455,0.40222008224596,0.4208058602813951,0.2730727987125257
HLM,fcfp4,RF,0.2,494,6,none,0.0,base,0.1037904583154032,0.5790647463953277,0.3353159805178852,0.4804992200355984,0.3380299002643634,0.3420077428397382,0.230225782960827
HLM,fcfp4,RF,0.2,494,7,none,0.0,base,0.1482361922105968,0.5645233828838658,0.3186866498226438,0.4694196625080905,0.3878068632007265,0.4009245605434866,0.2499153015494268
HLM,fcfp4,RF,0.2,494,8,none,0.0,base,0.1168364393222277,0.57483461852394,0.3304348386535636,0.4750752716841422,0.3480397080429508,0.3664860765480671,0.2359722324066089
HLM,fcfp4,RF,0.2,494,9,none,0.0,base,0.1405279183340053,0.5670720354990573,0.321570693445044,0.4690330361165047,0.3854213010518112,0.41191685755032,0.2383886940897594
HLM,fcfp4,RF,0.2,494,10,none,0.0,base,0.1816030533095434,0.5533556444579569,0.3062024692534808,0.4546748645275077,0.4457774627149431,0.4492210160448583,0.2807029477518674
HLM,fcfp4,RF,0.2,494,11,none,0.0,base,0.1653607316300552,0.5588197554289862,0.3122795190577119,0.4642176879320385,0.4133396370621883,0.40712942134296,0.2814557395663661
HLM,fcfp4,RF,0.2,494,12,none,0.0,base,0.1296400785100893,0.570652581488253,0.3256443687592072,0.4603645998867312,0.3781730758920231,0.4013743684745555,0.2581020438644817
HLM,fcfp4,RF,0.2,494,13,none,0.0,base,0.1199902595277226,0.5738073193220561,0.329254839707564,0.4789494792394821,0.3502513778947952,0.361596163522392,0.2378106268867292
HLM,fcfp4,RF,0.2,494,14,none,0.0,base,0.1356225620199448,0.5686879882892204,0.3234060280244405,0.4677114305695791,0.3792507414895737,0.3915647454757825,0.2490380592227964
HLM,fcfp4,RF,0.2,494,15,none,0.0,base,0.1430478682226792,0.5662401049894518,0.3206278564984653,0.471137092330097,0.3856631387019602,0.3798349290291589,0.2437743119765338
HLM,fcfp4,RF,0.2,494,16,none,0.0,base,0.1612032802886343,0.5602098050511857,0.3138350256754875,0.4598774433980578,0.4260379818888278,0.433017312632262,0.2731653647555001
HLM,fcfp4,RF,0.2,494,17,none,0.0,base,0.1221586875243783,0.5730999252795699,0.3284435243554486,0.4708312219093847,0.3739429640446762,0.3889446965467044,0.2233796947787515
HLM,fcfp4,RF,0.2,494,18,none,0.0,base,0.1442769771102001,0.5658338859878485,0.3201679865321094,0.4730896517087378,0.3798871667839604,0.3795822077235801,0.2502290876762276
HLM,fcfp4,RF,0.2,494,19,none,0.0,base,0.1396941836739188,0.5673470141859739,0.3218826345057397,0.4669219539417474,0.3941326840197782,0.3899840932571056,0.2642112260100088
HLM,fcfp4,RF,0.25,617,5,none,0.0,base,0.1660741510634058,0.5585808749224073,0.312012593829082,0.4593593521205961,0.4133438708440507,0.4452899785567388,0.2789035425888984
HLM,fcfp4,RF,0.25,617,6,none,0.0,base,0.1267230692007518,0.5716080520119988,0.3267357651249519,0.4686807935092769,0.3730369500203446,0.3811246046723993,0.2404846642796907
HLM,fcfp4,RF,0.25,617,7,none,0.0,base,0.1517552558046646,0.5633560112369371,0.317369995396792,0.4654836662880257,0.3914558279608005,0.4117683869969408,0.2529131210748125
HLM,fcfp4,RF,0.25,617,8,none,0.0,base,0.1488618915638013,0.5643159974533669,0.3184525449817884,0.4671584653407764,0.3869053154689059,0.4050104187541082,0.2674768707768275
HLM,fcfp4,RF,0.25,617,9,none,0.0,base,0.1610667545671551,0.5602553941278373,0.3138861066493383,0.4646358047896438,0.4089260831033555,0.4239785024700977,0.2653070788425835
HLM,fcfp4,RF,0.25,617,10,none,0.0,base,0.1731654750170095,0.5562008463282146,0.3093593814562222,0.4563330935857602,0.4262348415871021,0.4441570518250054,0.2776872100314982
HLM,fcfp4,RF,0.25,617,11,none,0.0,base,0.1756055687696807,0.5553795302402742,0.3084464226099076,0.4579095131909381,0.4244727756544397,0.4215369524245022,0.3021023368252566
