endpoint,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,FCNN,1.0,2468,2,none,0.0,base,0.5188919893198284,0.4242712838099865,0.1800061222657741,0.3207721879948674,0.7437764111500375,0.7544725145776977,0.7363702494526709
HLM,FCNN,1.0,2468,3,none,0.0,base,0.5188919893198284,0.4242712838099865,0.1800061222657741,0.3207721879948674,0.7437764111500375,0.7544725145776977,0.7363702494526709
HLM,FCNN,1.0,2468,4,none,0.0,base,0.5188919893198284,0.4242712838099865,0.1800061222657741,0.3207721879948674,0.7437764111500375,0.7544725145776977,0.7363702494526709
SOL,RF,1.0,1737,0,none,0.0,base,0.3121627662588462,0.5598571353249896,0.3134400119743037,0.3941957855264366,0.5659613300375433,0.478960765603173,0.439378139746536
SOL,RF,1.0,1737,1,none,0.0,base,0.3121627662588461,0.5598571353249896,0.3134400119743037,0.3941957855264366,0.5659613300375431,0.478960765603173,0.4393781397465358
SOL,RF,1.0,1737,2,none,0.0,base,0.3121627662588461,0.5598571353249896,0.3134400119743037,0.3941957855264366,0.565961330037543,0.478960765603173,0.4393781397465359
SOL,RF,1.0,1737,3,none,0.0,base,0.3121627662588464,0.5598571353249896,0.3134400119743036,0.3941957855264366,0.565961330037543,0.478960765603173,0.439378139746536
SOL,RF,1.0,1737,4,none,0.0,base,0.3121627662588461,0.5598571353249896,0.3134400119743037,0.3941957855264366,0.5659613300375433,0.478960765603173,0.439378139746536
SOL,LightGBM,1.0,1737,0,none,0.0,base,0.3429966497945312,0.5471648231212308,0.2993893436612878,0.3799458528508242,0.5871811687779728,0.4954384756685286,0.5292219431753532
SOL,LightGBM,1.0,1737,1,none,0.0,base,0.3429966497945312,0.5471648231212308,0.2993893436612878,0.3799458528508242,0.5871811687779728,0.4954384756685286,0.5292219431753532
SOL,LightGBM,1.0,1737,2,none,0.0,base,0.3429966497945312,0.5471648231212308,0.2993893436612878,0.3799458528508242,0.5871811687779728,0.4954384756685286,0.5292219431753532
SOL,LightGBM,1.0,1737,3,none,0.0,base,0.3429966497945312,0.5471648231212308,0.2993893436612878,0.3799458528508242,0.5871811687779728,0.4954384756685286,0.5292219431753532
SOL,LightGBM,1.0,1737,4,none,0.0,base,0.3429966497945312,0.5471648231212308,0.2993893436612878,0.3799458528508242,0.5871811687779728,0.4954384756685286,0.5292219431753532
SOL,FCNN,1.0,1737,0,none,0.0,base,0.3021276329063056,0.5639263374379715,0.3180129140562048,0.3364672133441854,0.5949803106528502,0.5722730070673576,0.5782933312423232
SOL,FCNN,1.0,1737,1,none,0.0,base,0.3021276329063056,0.5639263374379715,0.3180129140562048,0.3364672133441854,0.5949803106528502,0.5722730070673576,0.5782933312423232
SOL,FCNN,1.0,1737,2,none,0.0,base,0.3021276329063056,0.5639263374379715,0.3180129140562048,0.3364672133441854,0.5949803106528502,0.5722730070673576,0.5782933312423232
SOL,FCNN,1.0,1737,3,none,0.0,base,0.3021276329063056,0.5639263374379715,0.3180129140562048,0.3364672133441854,0.5949803106528502,0.5722730070673576,0.5782933312423232
SOL,FCNN,1.0,1737,4,none,0.0,base,0.3021276329063056,0.5639263374379715,0.3180129140562048,0.3364672133441854,0.5949803106528502,0.5722730070673576,0.5782933312423232
HLM,RF,1.0,2468,0,gaussian,2.0,base,0.4356013478814943,0.4595315436377469,0.2111692395980905,0.3682435369748346,0.6632242976442927,0.6805490903231702,0.5842560835546278
HLM,RF,1.0,2468,1,gaussian,2.0,base,0.429375330270623,0.4620591936040902,0.2134986983940622,0.3743332986878718,0.6610600177859202,0.679064821845553,0.5723361749927705
HLM,RF,1.0,2468,2,gaussian,2.0,base,0.4285474715161996,0.4623942484396047,0.2138084409900269,0.3716447533878615,0.658004928682623,0.6702071329039176,0.5771080734311922
HLM,RF,1.0,2468,3,gaussian,2.0,base,0.4357253201546294,0.4594810719555905,0.2111228554854586,0.3712139489188902,0.6651937978925762,0.6778309608467084,0.5788722617105054
HLM,RF,1.0,2468,4,gaussian,2.0,base,0.4385570373483324,0.4583267078043636,0.2100633710867865,0.3717612405801371,0.6669656939671198,0.6821412088391297,0.584301002447114
HLM,RF,1.0,2468,0,gaussian,3.0,base,0.4210476116171664,0.465418635975505,0.2166145067132996,0.3741945465736123,0.6504085183348467,0.6680260426291075,0.5770620825423562
HLM,RF,1.0,2468,1,gaussian,3.0,base,0.4136235925795044,0.4683932073030522,0.21939219664764,0.3806635335816962,0.6482084476024016,0.6648836087348152,0.5589071197009896
HLM,RF,1.0,2468,2,gaussian,3.0,base,0.4269230297974481,0.4630509954353746,0.2144162243736913,0.3707633019288052,0.6566719856060037,0.6706311288115073,0.5767195317509578
HLM,RF,1.0,2468,3,gaussian,3.0,base,0.4153750551148489,0.4676931563980774,0.2187368885415965,0.3784420762169143,0.6474955623609819,0.6596009107542437,0.5645888648566519
HLM,RF,1.0,2468,4,gaussian,3.0,base,0.4329831217147899,0.4605961859636155,0.2121488465242294,0.3742087672741837,0.6611184842127846,0.6761834904517142,0.5841973382548414
HLM,RF,1.0,2468,0,gaussian,5.0,base,0.3986336447620755,0.4743423572869763,0.2250006719165655,0.3817353520942556,0.6319077741050423,0.6506117707408462,0.5657358828294285
HLM,RF,1.0,2468,1,gaussian,5.0,base,0.3964987818780916,0.4751835739085128,0.225799428912467,0.3876493948856891,0.6337830174270951,0.6567911794454546,0.5452580803284877
HLM,RF,1.0,2468,2,gaussian,5.0,base,0.4011946645202414,0.4733312462915068,0.224042468715871,0.3767153005710182,0.6348182076309983,0.6476832886985404,0.5632511707249944
HLM,RF,1.0,2468,3,gaussian,5.0,base,0.3803273329131739,0.4815080079867296,0.2318499617553484,0.3872143187465661,0.6172164639442466,0.627492244678881,0.5425383335335765
HLM,RF,1.0,2468,4,gaussian,5.0,base,0.4088879926948028,0.4702807852913181,0.2211640170142189,0.3840677241096675,0.641284430706179,0.6573321521526762,0.5735128846036144
HLM,RF,1.0,2468,0,gaussian,10.0,base,0.3635831201957884,0.4879700745255537,0.2381147936324744,0.3951853145393751,0.6055478660996985,0.6217622068491669,0.5529305270425814
HLM,RF,1.0,2468,1,gaussian,10.0,base,0.3535661872744032,0.4917953028704342,0.2418626199254221,0.4009044404108512,0.5973999682158816,0.6204423743298896,0.5118102853287628
HLM,RF,1.0,2468,2,gaussian,10.0,base,0.3693176209772726,0.4857666470732318,0.2359692354087698,0.3889673116896122,0.6102916686712374,0.6218836827564772,0.5519596030083326
HLM,RF,1.0,2468,3,gaussian,10.0,base,0.3206748149325324,0.5041516605257957,0.2541688968109172,0.4074354946737166,0.5684657040955459,0.5802184234981611,0.5072107448282798
HLM,RF,1.0,2468,4,gaussian,10.0,base,0.3711119003982628,0.4850751564490952,0.2352979074041142,0.3968067172193777,0.613335712398618,0.6266807084904883,0.5618744153185494
HLM,RF,1.0,2468,0,systematic_bias,2.0,base,0.373519037412898,0.4841459276821399,0.2343972792911998,0.4045417070246312,0.6672737758304778,0.682520085124004,0.5560098373197211
HLM,RF,1.0,2468,1,systematic_bias,2.0,base,0.3736773833708509,0.4840847387553392,0.2343380342958249,0.4038859520940041,0.6656461340433006,0.6859759397137499,0.5557708453834546
HLM,RF,1.0,2468,2,systematic_bias,2.0,base,0.366052541148382,0.4870224451102084,0.237190862041126,0.4071854186993016,0.6662147205379143,0.6799286762289457,0.5508456642818885
HLM,RF,1.0,2468,3,systematic_bias,2.0,base,0.3696535196249484,0.4856372712600333,0.2358435592368911,0.4082207999616781,0.6667174049027385,0.6798347348606257,0.556547558424535
HLM,RF,1.0,2468,4,systematic_bias,2.0,base,0.3751056172289579,0.4835324827804294,0.2338036619038062,0.4036710186121168,0.664750907672266,0.6778395991334504,0.5565155540486939
HLM,RF,1.0,2468,0,systematic_bias,3.0,base,0.2840503705061957,0.5175634252951563,0.2678718992032549,0.4351021081422991,0.6694631182770415,0.683544133449926,0.5213737532448809
HLM,RF,1.0,2468,1,systematic_bias,3.0,base,0.2862130323394471,0.5167811347716793,0.2670627412559045,0.4337345304756841,0.6677334266526516,0.686382684757042,0.5260117065093222
HLM,RF,1.0,2468,2,systematic_bias,3.0,base,0.2646019058619659,0.5245460174913287,0.2751485244660133,0.4428875733363868,0.6645461043519593,0.6782721819094085,0.5124217399013682
HLM,RF,1.0,2468,3,systematic_bias,3.0,base,0.26988984755993,0.5226567189992581,0.2731700459150695,0.4425265115487377,0.6643793084515136,0.6775395986334709,0.5214938654375355
HLM,RF,1.0,2468,4,systematic_bias,3.0,base,0.2882594177663323,0.5160398124366683,0.2662970880196718,0.4343713299275723,0.6649957325266086,0.6779264961846057,0.5250224411665494
HLM,RF,1.0,2468,0,systematic_bias,5.0,base,0.0975168206129659,0.5810879936184983,0.3376632563275719,0.4917229170377667,0.6600588626464506,0.6729820282646846,0.4590818223436037
HLM,RF,1.0,2468,1,systematic_bias,5.0,base,0.1094909574229421,0.5772201867479997,0.3331831439893957,0.4871591853856906,0.6562314370305452,0.6741938307813127,0.4675857499677782
HLM,RF,1.0,2468,2,systematic_bias,5.0,base,0.0684068095360446,0.5903852474050334,0.3485547403535025,0.501130465500758,0.6606565334618926,0.6718702859028186,0.4526809293026959
HLM,RF,1.0,2468,3,systematic_bias,5.0,base,0.0836602536462239,0.5855319617130975,0.3428476781875882,0.4984826856577909,0.6655073396141272,0.6770636187503086,0.4671574255528531
HLM,RF,1.0,2468,4,systematic_bias,5.0,base,0.1244878559248963,0.5723391198653215,0.3275720681282108,0.4837388532701241,0.6578561851823428,0.6670669871272448,0.4715253409376657
HLM,RF,1.0,2468,0,systematic_bias,10.0,base,-0.2643497407695732,0.6877901564970736,0.473055299374269,0.5871347698414253,0.6505613092563987,0.663582775304533,0.3745143348027193
HLM,RF,1.0,2468,1,systematic_bias,10.0,base,-0.2257918994317953,0.6772214691631048,0.458628918295434,0.5783541783171532,0.6466299977860078,0.6668358872477078,0.3885694786284884
HLM,RF,1.0,2468,2,systematic_bias,10.0,base,-0.3112041138704677,0.7004183180256199,0.4905858202258384,0.5993128555145644,0.649242176700668,0.6580016707935593,0.366880473154322
HLM,RF,1.0,2468,3,systematic_bias,10.0,base,-0.2796821974452075,0.6919479200194899,0.4787919240192984,0.5933315083074445,0.6572263606649538,0.6661278562450996,0.3848638894284911
HLM,RF,1.0,2468,4,systematic_bias,10.0,base,-0.2087952779501551,0.6725099611975777,0.4522696479099674,0.5759366556343053,0.6462159372679299,0.6543782180155054,0.3891448276072974
HLM,RF,1.0,2468,0,gross_errors,0.01,base,0.4381811588762255,0.4584801039013776,0.210204005673418,0.370728427444664,0.6680575460424972,0.6810662820326644,0.5799811633602663
HLM,RF,1.0,2468,1,gross_errors,0.01,base,0.4374067376639222,0.4587959837028464,0.2104937546618625,0.3716249188505036,0.6673589087144535,0.6846990672455021,0.5793185660897474
HLM,RF,1.0,2468,2,gross_errors,0.01,base,0.4392616594378941,0.4580390129413551,0.2097997373762908,0.3702017393061913,0.6676736151401261,0.683743328228728,0.5844141606694776
HLM,RF,1.0,2468,3,gross_errors,0.01,base,0.4323739912819162,0.4608435223790109,0.2123767521186939,0.3740792578058508,0.6628461011160339,0.6797496631617285,0.5773441707398085
HLM,RF,1.0,2468,4,gross_errors,0.01,base,0.4333313106313016,0.4604547447464346,0.2120185719595042,0.3729540975250252,0.6640150451538056,0.6775695755452007,0.5762699699462556
HLM,RF,1.0,2468,0,gross_errors,0.05,base,0.4188365536599659,0.4663065215351075,0.2174417720261716,0.382624487469818,0.657459597027383,0.6687077988428753,0.5632363587561509
HLM,RF,1.0,2468,1,gross_errors,0.05,base,0.425688451201311,0.4635495020238123,0.2148781408265243,0.3819899118631202,0.6640537593408969,0.6783028272599935,0.5625138223805175
HLM,RF,1.0,2468,2,gross_errors,0.05,base,0.4320384946584528,0.4609796935588173,0.2125022778735811,0.3789080041906746,0.668891396426164,0.6822765419980887,0.5696302203398926
HLM,RF,1.0,2468,3,gross_errors,0.05,base,0.4159815660454692,0.467450492599489,0.2185099630315049,0.3846495276532086,0.6568193495752482,0.6706572493452273,0.5600887155895731
HLM,RF,1.0,2468,4,gross_errors,0.05,base,0.4083080598665575,0.4705114221266155,0.2213809983516102,0.3851484869484832,0.6490771007908995,0.6573503028385093,0.5514977000916783
