endpoint,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,RF,1.0,2468,4,systematic_bias,1.0,base,0.04025726327810153,0.5992385729788025,0.3590868673456716,0.5117451526513888,0.5061008915153489,0.5127751797238235,0.3237031471856335
HLM,RF,1.0,2468,0,gross_errors,0.01,base,0.2560151549326385,0.5275995161809818,0.2783612494744061,0.4285892691241975,0.5100284355782264,0.5208239805232995,0.38653440293128727
HLM,RF,1.0,2468,1,gross_errors,0.01,base,0.24738798455926247,0.5306496936594137,0.28158909738082966,0.43380303950305865,0.5002833117765006,0.510292032214095,0.3796836174477059
HLM,RF,1.0,2468,2,gross_errors,0.01,base,0.2460960359257135,0.531104960229803,0.28207247878070063,0.4325411817609464,0.49897186074244254,0.5088435766335958,0.38033797841445816
HLM,RF,1.0,2468,3,gross_errors,0.01,base,0.24020760681534425,0.5331750455037294,0.2842756291479039,0.4355861485587393,0.49120882434007584,0.5020211554596253,0.3781052611807554
HLM,RF,1.0,2468,4,gross_errors,0.01,base,0.2517730521772854,0.5291015293318458,0.2799484283412982,0.4298694302610911,0.5054663274481721,0.5167709272349483,0.38352148073200215
HLM,RF,1.0,2468,0,gross_errors,0.05,base,0.2595042524884491,0.5263609092764839,0.277055806814367,0.43014652860299385,0.5129517288338515,0.518149993720457,0.3855922904611783
HLM,RF,1.0,2468,1,gross_errors,0.05,base,0.23449058376480292,0.5351772118602941,0.2864146480945581,0.44438868626598027,0.4857503376942155,0.4807585525369625,0.3623396973677803
HLM,RF,1.0,2468,2,gross_errors,0.05,base,0.24188950375796836,0.5325845932288741,0.2836463489447653,0.4379145788292983,0.4937158879951332,0.49897628792898224,0.3699828617498118
HLM,RF,1.0,2468,3,gross_errors,0.05,base,0.25481926390715026,0.5280233811187316,0.2788086910080572,0.4362605028065056,0.5079769224316864,0.5126042393412402,0.38313604156687886
HLM,RF,1.0,2468,4,gross_errors,0.05,base,0.25196000222046666,0.529035425235013,0.279878481153591,0.43457603756575014,0.5040181757630199,0.5065745095217875,0.382135737524192
HLM,RF,1.0,2468,0,gross_errors,0.1,base,0.24169447756807894,0.5326530933125034,0.28371931781537846,0.44120552065637575,0.49730792016485753,0.5051047410254872,0.3664818175451599
HLM,RF,1.0,2468,1,gross_errors,0.1,base,0.21870975728322173,0.540665358509761,0.2923190298924884,0.45140830337594456,0.47273085333441794,0.4705741924323792,0.33937887183556864
HLM,RF,1.0,2468,2,gross_errors,0.1,base,0.24178835860943582,0.5326201200758385,0.28368419230960057,0.44328172615283107,0.4973073771748648,0.49973005557478734,0.3691819600079379
HLM,RF,1.0,2468,3,gross_errors,0.1,base,0.24058473996878782,0.5330427047839578,0.28413452512339754,0.44362527762568676,0.49727700214613657,0.5009222676911256,0.3749421451601253
HLM,RF,1.0,2468,4,gross_errors,0.1,base,0.22363295936321392,0.5389591991385684,0.29047701833608697,0.44780371184791734,0.4762253195620101,0.48434156476428647,0.35763889585832326
HLM,RF,1.0,2468,0,gross_errors,0.2,base,0.22239971462155483,0.539387092660259,0.2909384357284868,0.45131379107166336,0.5008982486875743,0.5042299859469197,0.35493262584554697
HLM,RF,1.0,2468,1,gross_errors,0.2,base,0.18399131598541274,0.552547647680412,0.30530890295715674,0.46592007365114096,0.4562843575284762,0.4467741956159827,0.3136218538083998
HLM,RF,1.0,2468,2,gross_errors,0.2,base,0.21929116151259564,0.5404641505518292,0.2921014980317103,0.45296107755455783,0.5000495930563765,0.5092040965591432,0.3662700622022774
HLM,RF,1.0,2468,3,gross_errors,0.2,base,0.19724447274893264,0.548042194062566,0.3003502464729113,0.46324863276092554,0.4721608827091604,0.4785487965189456,0.3372011415068085
HLM,RF,1.0,2468,4,gross_errors,0.2,base,0.15245059061385013,0.5631250629422888,0.31710983651375674,0.46782701915280805,0.42875513183838265,0.43184867584015746,0.31729095561219367
HLM,LightGBM,1.0,2468,0,gaussian,0.1,base,0.2790282274103769,0.519375518724415,0.2697509294502552,0.40949296537629437,0.5512529473640809,0.5506946618936132,0.5199720184592789
HLM,LightGBM,1.0,2468,1,gaussian,0.1,base,0.29591107387402593,0.513258441609812,0.26343422788373283,0.4094528192687597,0.562930611254106,0.5643194253667164,0.5309006336750519
HLM,LightGBM,1.0,2468,2,gaussian,0.1,base,0.27280198661425925,0.5216133354802029,0.2720804717507827,0.413254529078929,0.5466258437623588,0.5423861211805806,0.5154462459493147
HLM,LightGBM,1.0,2468,3,gaussian,0.1,base,0.27200090825590684,0.5219005599595059,0.2723801944860458,0.4165949661153924,0.5456728252397881,0.5436824812123715,0.5141998370884617
HLM,LightGBM,1.0,2468,4,gaussian,0.1,base,0.2885316950407162,0.5159410971481475,0.26619521572643423,0.4082150718753322,0.5595979084269384,0.5629224909964287,0.5298649956659909
HLM,LightGBM,1.0,2468,0,gaussian,0.3,base,0.2594362515324191,0.5263850770205067,0.2770812493098848,0.4176010988337454,0.540747376779598,0.530095201733524,0.5126969204983556
